公司代码,公司简称,发函日期,函件类别,函件内容,公司回复
2610.0,爱康科技,2023-1-31,关注函,LSD002610177250.pdf,LSD002610177250103507HF.pdf
46.0,泛海控股,2023-1-31,关注函,LSD000046177267.pdf,
2052.0,*ST同洲,2023-1-31,关注函,LSD002052177292.pdf,LSD002052177292103543HF.pdf
2499.0,*ST科林,2023-1-31,关注函,LSD002499177284.pdf,
2217.0,合力泰,2023-1-31,关注函,LSD002217177277.pdf,LSD002217177277103509HF.pdf
544.0,中原环保,2023-1-30,非许可类重组问询函,LSD000544177201.pdf,LSD000544177201103526HF.pdf
606.0,*ST顺利,2023-1-30,关注函,LSD000606177248.pdf,LSD000606177248103571HF.pdf
2411.0,*ST必康,2023-1-30,关注函,LSD002411177260.pdf,LSD002411177260103510HF.pdf
2868.0,绿康生化,2023-1-30,关注函,LSD002868177249.pdf,LSD002868177249103522HF.pdf
2482.0,ST广田,2023-1-30,关注函,LSD002482177228.pdf,LSD002482177228103528HF.pdf
540.0,中天金融,2023-1-30,关注函,LSD000540177214.pdf,LSD000540177214103542HF.pdf
564.0,ST大集,2023-1-20,关注函,LSD000564177227.pdf,LSD000564177227103515HF.pdf
2388.0,新亚制程,2023-1-20,关注函,LSD002388177219.pdf,LSD002388177219103512HF.pdf
7.0,全新好,2023-1-19,关注函,LSD000007177200.pdf,LSD000007177200103529HF.pdf
2499.0,*ST科林,2023-1-18,关注函,LSD002499177179.pdf,
152.0,*ST山航B,2023-1-18,关注函,LSD000152177187.pdf,
2789.0,建艺集团,2023-1-18,关注函,LSD002789177177.pdf,LSD002789177177103506HF.pdf
2576.0,通达动力,2023-1-17,关注函,LSD002576177180.pdf,LSD002576177180103500HF.pdf
2089.0,ST新海,2023-1-16,关注函,LSD002089177160.pdf,
587.0,*ST金洲,2023-1-16,关注函,LSD000587177151.pdf,
1339.0,智微智能,2023-1-16,关注函,LSD001339177148.pdf,LSD001339177148103501HF.pdf
2979.0,雷赛智能,2023-1-16,关注函,LSD002979177124.pdf,LSD002979177124103503HF.pdf
2366.0,*ST海核,2023-1-13,关注函,LSD002366177117.pdf,LSD002366177117103502HF.pdf
506.0,中润资源,2023-1-13,非许可类重组问询函,LSD000506177104.pdf,LSD000506177104103544HF.pdf
2109.0,兴化股份,2023-1-13,非许可类重组问询函,LSD002109176929.pdf,LSD002109176929103511HF.pdf
716.0,黑芝麻,2023-1-12,关注函,LSD000716177084.pdf,LSD000716177084103498HF.pdf
544.0,中原环保,2023-1-12,非许可类重组问询函,LSD000544177074.pdf,LSD000544177074103527HF.pdf
56.0,皇庭国际,2023-1-11,关注函,LSD000056177049.pdf,LSD000056177049103499HF.pdf
972.0,ST中基,2023-1-9,关注函,LSD000972177028.pdf,LSD000972177028103504HF.pdf
2195.0,二三四五,2023-1-9,关注函,LSD002195177003.pdf,LSD002195177003103496HF.pdf
630.0,铜陵有色,2023-1-5,许可类重组问询函,LSD000630176889.pdf,LSD000630176889103505HF.pdf
2411.0,*ST必康,2023-1-5,关注函,LSD002411176906.pdf,LSD002411176906103495HF.pdf
2348.0,高乐股份,2023-1-5,关注函,LSD002348176918.pdf,LSD002348176918103494HF.pdf
2776.0,ST柏龙,2023-1-4,关注函,LSD002776176868.pdf,
2838.0,道恩股份,2023-1-4,关注函,LSD002838176872.pdf,LSD002838176872103493HF.pdf
806.0,*ST银河,2023-1-3,关注函,LSD000806176859.pdf,LSD000806176859103516HF.pdf
2528.0,英飞拓,2023-1-3,关注函,LSD002528176871.pdf,LSD002528176871103485HF.pdf
150.0,*ST宜康,2023-1-3,关注函,LSD000150176869.pdf,LSD000150176869103497HF.pdf
2499.0,*ST科林,2022-12-30,关注函,LSD002499176745.pdf,
2411.0,*ST必康,2022-12-30,关注函,LSD002411176847.pdf,LSD002411176847103492HF.pdf
2028.0,思源电气,2022-12-30,关注函,LSD002028176837.pdf,LSD002028176837103488HF.pdf
