,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
48,002032.SZ,20221215,50.24,50.92,49.62,49.7,50.25,-0.55,-1.0945,10150.07,50753.404
47,002032.SZ,20221216,49.9,50.48,49.6,50.14,49.7,0.44,0.8853,5927.01,29625.003
46,002032.SZ,20221219,50.12,50.83,49.24,49.5,50.14,-0.64,-1.2764,7715.05,38389.899
45,002032.SZ,20221220,49.55,50,48.6,49.1,49.5,-0.4,-0.8081,10264.5,50413.571
44,002032.SZ,20221221,50.18,50.3,48.61,48.99,49.1,-0.11,-0.224,7208.41,35374.457
43,002032.SZ,20221222,49.4,50.12,48.73,48.99,48.99,0,0,12735.92,62787.808
42,002032.SZ,20221223,49.07,49.37,48.03,48.3,48.99,-0.69,-1.4085,8065.45,39139.738
41,002032.SZ,20221226,48.96,49.35,48.11,48.3,48.3,0,0,6832.98,33127.154
40,002032.SZ,20221227,48.31,49.96,48.28,49.81,48.3,1.51,3.1263,7246,35798.217
39,002032.SZ,20221228,49.49,50.5,49.4,50.28,49.81,0.47,0.9436,10272.26,51518.418
38,002032.SZ,20221229,50.28,50.78,49.4,49.75,50.28,-0.53,-1.0541,6536,32540.623
37,002032.SZ,20221230,49.72,50.49,48.9,49.46,49.75,-0.29,-0.5829,11367.15,56153.299
36,002032.SZ,20230103,49.47,49.97,48.38,48.64,49.46,-0.82,-1.6579,12422.53,60773.271
35,002032.SZ,20230104,48.65,50.38,48.37,50.31,48.64,1.67,3.4334,11586.04,57856.123
34,002032.SZ,20230105,50.4,50.74,49.69,50.24,50.31,-0.07,-0.1391,12737.09,63905.855
33,002032.SZ,20230106,50.49,51.42,50.06,51.3,50.24,1.06,2.1099,12362.91,62963.896
32,002032.SZ,20230109,51.66,52.5,51.2,52.45,51.3,1.15,2.2417,11270.17,58634.07
31,002032.SZ,20230110,52.45,52.8,51.82,52.2,52.45,-0.25,-0.4766,7112.62,37147.413
30,002032.SZ,20230111,52.04,52.55,51.35,51.63,52.2,-0.57,-1.092,8438.7,43782.16
29,002032.SZ,20230112,52.02,52.18,50.68,51.27,51.63,-0.36,-0.6973,8634,44145.494
28,002032.SZ,20230113,51.67,52.63,50.8,52.57,51.27,1.3,2.5356,15843.15,82541.978
27,002032.SZ,20230116,52.57,53.59,52.5,53.3,52.57,0.73,1.3886,9987.08,53026.58
26,002032.SZ,20230117,53.46,53.72,52.96,53.32,53.3,0.02,0.0375,7349.64,39094.356
25,002032.SZ,20230118,53.24,53.81,52.65,52.91,53.32,-0.41,-0.7689,7737.76,41032.234
24,002032.SZ,20230119,53.39,53.42,51.85,52.36,52.91,-0.55,-1.0395,7802.83,40787.792
23,002032.SZ,20230120,53.2,53.2,52.08,52.65,52.36,0.29,0.5539,9707.05,51024.897
22,002032.SZ,20230130,53.57,53.58,52.59,52.85,52.65,0.2,0.3799,12107.45,64327.107
21,002032.SZ,20230131,52.85,52.97,51.01,51.67,52.85,-1.18,-2.2327,18086.86,93563.735
20,002032.SZ,20230201,52.16,53.58,51.75,53.15,51.67,1.48,2.8643,15325.84,80632.648
19,002032.SZ,20230202,53.16,53.52,51.49,52.27,53.15,-0.88,-1.6557,15083.59,78447.564
18,002032.SZ,20230203,52.15,53.35,51.06,52.96,52.27,0.69,1.3201,12067.87,63325.363
17,002032.SZ,20230206,53.01,53.55,52.02,52.39,52.96,-0.57,-1.0763,12412.75,65094.319
16,002032.SZ,20230207,52.58,52.73,51.8,52.21,52.39,-0.18,-0.3436,10036.29,52428.247
15,002032.SZ,20230208,52.24,52.94,51.52,52.78,52.21,0.57,1.0917,7252.53,37939.893
14,002032.SZ,20230209,52.4,52.99,52.19,52.33,52.78,-0.45,-0.8526,5214.38,27331.475
13,002032.SZ,20230210,52.33,52.95,51.81,52.18,52.33,-0.15,-0.2866,4521.96,23733.529
12,002032.SZ,20230213,52.37,52.8,51.69,52.37,52.18,0.19,0.3641,6534.37,34205.288
11,002032.SZ,20230214,52.38,53.16,51.96,53,52.37,0.63,1.203,5611.51,29542.555
10,002032.SZ,20230215,53.1,53.1,52.05,52.17,53,-0.83,-1.566,5955.64,31123.848
9,002032.SZ,20230216,52.16,53.05,51.69,51.7,52.17,-0.47,-0.9009,6680.51,35068.093
8,002032.SZ,20230217,51.7,52.35,51.03,51.47,51.7,-0.23,-0.4449,8551.61,44184.283
7,002032.SZ,20230220,51,53.3,50.68,53.23,51.47,1.76,3.4195,11139.85,58673.815
6,002032.SZ,20230221,53.23,54.5,52.18,54.4,53.23,1.17,2.198,14004.48,75473.865
5,002032.SZ,20230222,54.31,55.49,53.83,55.17,54.4,0.77,1.4154,9445.25,51813.286
4,002032.SZ,20230223,55.55,57.26,55.17,57.2,55.17,2.03,3.6795,18405.76,103823.436
3,002032.SZ,20230224,57.73,57.97,56.36,56.6,57.2,-0.6,-1.049,22602.63,128893.569
2,002032.SZ,20230227,56.6,57.19,56.16,56.74,56.6,0.14,0.2473,12964.39,73493.079
1,002032.SZ,20230228,56.21,57,56.21,56.93,56.74,0.19,0.3349,12160.88,68875.994
0,002032.SZ,20230301,56.51,57.96,56.31,57.18,56.93,0.25,0.4391,11636.83,66472.325
