预收款项,0,0,0,0,0,0,0,0,0,0,0,0,6161443243,7212285097,7534909203,5404891137,4994400868,1704582797,349064691,518067888,203165478.7,192644288.3,87727135.56,170045760.4,8715160,0.0
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
应付职工薪酬,9476018400,7434024200,5041659000,5529734300,5122787800,3538683641,3023749747,3098794000,2657564914,1653018544,1386927108,1615223768,1582275522,1519823498,1317233803,1336293223,1122253457,596544931.3,524449445.7,509591839.9,517308035,402945039.8,446249267.3,198490932.8,21201376.97,0.0
应交税费,4792441200,2611381800,1703180400,1981850300,2403797500,2171709496,1454565477,1336465854,1321059090,933795455.6,662849296.7,722158365.7,962984568,1213384711,803066668.3,1122299622,722536564.7,705588018.3,271459638.6,306609488.4,436196766.9,396746820.2,248297683.2,252617557.7,30587729.51,0.0
其他应付款(合计),15014070600,13415971900,11504994800,7802863800,6176214400,5990382032,7444740885,4533862168,4407776290,3635544672,4225371311,5138693490,5298308993,3211946796,2998771425,3900340464,2924184175,1646424624,299269277.2,312843053,332362146.2,0,0,0,0,0.0
应付利息,0,0,0,0,0,0,0,0,0,0,0,0,0,29996067.26,22426699.31,20963013.91,19842845.23,0,16260284.94,16269159.28,15205262.28,8666706.59,5776292.16,3639309.42,92346.79,0.0
应付股利,8319600,11281100,6590800,6590800,6590800,10638731.54,565000646.2,6172824.12,6172824.12,14380319.72,17042223.28,2418687.95,2418687.95,2418687.95,311692470.8,0,0,0,0,0,0,0,0,0,0,0.0
其他应付款,15005751100,0,11498403900,0,6169623600,0,6879740239,0,4401603465,0,4208329088,0,5295890305,0,2664652255,0,2904341329,1646424624,283008992.3,296573893.7,317156883.9,361005463.2,360240077.3,311755056,62047482.54,0.0
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
一年内到期的非流动负债,7232224400,8295346800,8731818900,7197313100,3548532800,1572686982,1493766156,1473265563,1349038696,1356368402,1154945481,1159645442,1077468495,917868306.6,830307415.5,990251685.3,929024032.4,826658774.4,785188697.2,449364718,364944600,129784955.9,240511234.8,1322574459,127376000,0.0
其他流动负债,1622032600,1398400500,1320644900,1449820600,1242490300,1152044044,1057174566,904377178.9,760008999.6,581206979.3,458181632.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
流动负债合计,2.96E+11,2.78E+11,2.44E+11,2.04E+11,1.49E+11,1.14E+11,92689792740,66877122611,54977189803,40542341633,35466989735,39832505063,45607378729,43864214309,42250965045,38597161467,31084941869,21825445438,16047849442,14931706125,17890045939,14367644865,10182824422,5349286443,936283397.2,0.0
非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,59099358400,47507184100,38872517900,33235483200,22119078800,17159358715,8701599250,7046382303,6068163254,5419429150,6723868094,5717526587,4980563181,4630256270,3638729122,3394334761,3490767816,3245327066,3194631604,2755256273,2129095275,719950000,302000000,0,0,0.0
应付债券,19177888600,14150246000,13434684300,12638046700,15855052000,17528377295,14273326293,14339029834,14382255951,14761040737,4582049678,4539302835,1508339196,0,0,0,0,0,0,0,0,0,0,0,0,0.0
租赁负债,572350200,355053200,392039000,364988600,395304000,137750800.7,134612559.9,137789322.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
